id;i_d_check_log;in_date_time;out_date_time
1;2153;2021-07-04T18:29:51;2021-07-04T18:14:14
2;59672;2021-07-04T12:50:05;2021-07-04T12:25:53
3;42497;2021-07-04T20:47:44;2021-07-04T04:48:17
4;92175;2021-07-04T16:58:29;2021-07-04T17:04:30
5;66447;2021-07-05T01:44:41;2021-07-04T22:26:37
6;6923;2021-07-04T19:19:15;2021-07-04T20:20:58
7;51370;2021-07-04T23:47:23;2021-07-04T12:17:39
8;40944;2021-07-04T23:35:59;2021-07-04T15:48:02
9;98270;2021-07-04T05:54:43;2021-07-04T05:34:48
10;55471;2021-07-04T20:56:09;2021-07-04T10:57:15
