id;i_d_property;type;description;has_house_built;property_size
1;44752;Networked Home conglomeration;feed Investment withdrawal;false;5821
2;87120;Cape French system;Investment TCP;true;47299
3;58838;GB quantifying;navigating Birr;true;19618
4;75275;Bedfordshire payment seize;Austria;false;87269
5;92088;silver superstructure Peru;Coordinator transform;false;56802
6;56815;ability Implementation Tuna;green;false;62951
7;85021;Ergonomic Mouse;deposit indigo Towels;false;77318
8;30866;Awesome Gloves hack;Agent;true;24224
9;86303;Fantastic;Peso Cambridgeshire Tasty;true;1776
10;66131;azure navigating;withdrawal Arizona;false;72520
